"Step","_n_M_512_e500_b64_lr0.01_3 - metrics/mAP_0.5","_n_M_512_e500_b64_lr0.01_3 - metrics/mAP_0.5__MIN","_n_M_512_e500_b64_lr0.01_3 - metrics/mAP_0.5__MAX","_n_M_512_e500_b64_lr0.01_2 - metrics/mAP_0.5","_n_M_512_e500_b64_lr0.01_2 - metrics/mAP_0.5__MIN","_n_M_512_e500_b64_lr0.01_2 - metrics/mAP_0.5__MAX","_n_M_512_e500_b32_lr0.01_3 - metrics/mAP_0.5","_n_M_512_e500_b32_lr0.01_3 - metrics/mAP_0.5__MIN","_n_M_512_e500_b32_lr0.01_3 - metrics/mAP_0.5__MAX","_n_M_512_e500_b32_lr0.01_2 - metrics/mAP_0.5","_n_M_512_e500_b32_lr0.01_2 - metrics/mAP_0.5__MIN","_n_M_512_e500_b32_lr0.01_2 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5__MAX","_n_M_512_e500_b64_lr0.01_1 - metrics/mAP_0.5","_n_M_512_e500_b64_lr0.01_1 - metrics/mAP_0.5__MIN","_n_M_512_e500_b64_lr0.01_1 - metrics/mAP_0.5__MAX","_n_M_512_e500_b32_lr0.01_1 - metrics/mAP_0.5","_n_M_512_e500_b32_lr0.01_1 - metrics/mAP_0.5__MIN","_n_M_512_e500_b32_lr0.01_1 - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5__MAX"
"20","0.007395834846099127","0.007395834846099127","0.007395834846099127","0.02266760994989709","0.02266760994989709","0.02266760994989709","0.008772562347010893","0.008772562347010893","0.008772562347010893","0.0061287192390603405","0.0061287192390603405","0.0061287192390603405","0.01608928731367019","0.01608928731367019","0.01608928731367019","0.003534814453377678","0.003534814453377678","0.003534814453377678","0.017201906975289526","0.017201906975289526","0.017201906975289526","0.004004693362118147","0.004004693362118147","0.004004693362118147","0.0095174277248224","0.0095174277248224","0.0095174277248224"
"21","0.001266267923240303","0.001266267923240303","0.001266267923240303","0.003222309575986476","0.003222309575986476","0.003222309575986476","0.002409550599924146","0.002409550599924146","0.002409550599924146","0.008440466939306413","0.008440466939306413","0.008440466939306413","0.006644230581183593","0.006644230581183593","0.006644230581183593","0.0032794785331975948","0.0032794785331975948","0.0032794785331975948","0.00577462778219851","0.00577462778219851","0.00577462778219851","0.007989535612813861","0.007989535612813861","0.007989535612813861","0.019055291985026583","0.019055291985026583","0.019055291985026583"
"22","0.00698292691819157","0.00698292691819157","0.00698292691819157","0.006017397432377577","0.006017397432377577","0.006017397432377577","0.009108053220016376","0.009108053220016376","0.009108053220016376","0.015804643697800276","0.015804643697800276","0.015804643697800276","0.05389715624647177","0.05389715624647177","0.05389715624647177","0.028905955424945253","0.028905955424945253","0.028905955424945253","0.003621731143633711","0.003621731143633711","0.003621731143633711","0.02698694788874088","0.02698694788874088","0.02698694788874088","0.015488661946438604","0.015488661946438604","0.015488661946438604"
"23","0.028743326950097528","0.028743326950097528","0.028743326950097528","0.006497392587528692","0.006497392587528692","0.006497392587528692","0.009011306332955877","0.009011306332955877","0.009011306332955877","0.018502759720876834","0.018502759720876834","0.018502759720876834","0.054029686962540804","0.054029686962540804","0.054029686962540804","0.021949263502622766","0.021949263502622766","0.021949263502622766","0.013359131797227796","0.013359131797227796","0.013359131797227796","0.015822104400140743","0.015822104400140743","0.015822104400140743","0.04989321774543401","0.04989321774543401","0.04989321774543401"
"24","0.024245259162327927","0.024245259162327927","0.024245259162327927","0.00873225232876552","0.00873225232876552","0.00873225232876552","0.0030982204603368486","0.0030982204603368486","0.0030982204603368486","0.0494344665081404","0.0494344665081404","0.0494344665081404","0.06979675433935345","0.06979675433935345","0.06979675433935345","0.009185830693837283","0.009185830693837283","0.009185830693837283","0.0016668076929037625","0.0016668076929037625","0.0016668076929037625","0.011014833672681959","0.011014833672681959","0.011014833672681959","0.011928710277965908","0.011928710277965908","0.011928710277965908"
"25","0.005942920756404124","0.005942920756404124","0.005942920756404124","0.0011248672194138676","0.0011248672194138676","0.0011248672194138676","0.03836864398734577","0.03836864398734577","0.03836864398734577","0.04601658593865767","0.04601658593865767","0.04601658593865767","0.020385454015027824","0.020385454015027824","0.020385454015027824","0.037155851996104335","0.037155851996104335","0.037155851996104335","0.005588958217081354","0.005588958217081354","0.005588958217081354","0.011945962654734209","0.011945962654734209","0.011945962654734209","0.023924699715488974","0.023924699715488974","0.023924699715488974"
"26","0.03711192533081954","0.03711192533081954","0.03711192533081954","0.0016925088406484368","0.0016925088406484368","0.0016925088406484368","0.013120020971054134","0.013120020971054134","0.013120020971054134","0.029494068608431068","0.029494068608431068","0.029494068608431068","0.04873112501829154","0.04873112501829154","0.04873112501829154","0.038356127731706796","0.038356127731706796","0.038356127731706796","0.02055375677695434","0.02055375677695434","0.02055375677695434","0.014634185806893235","0.014634185806893235","0.014634185806893235","0.035747269340556366","0.035747269340556366","0.035747269340556366"
"27","0.00972829060484337","0.00972829060484337","0.00972829060484337","0.003237606959214841","0.003237606959214841","0.003237606959214841","0.015199198780606011","0.015199198780606011","0.015199198780606011","0.012045800906003006","0.012045800906003006","0.012045800906003006","0.0407237799009415","0.0407237799009415","0.0407237799009415","0.017931087180338073","0.017931087180338073","0.017931087180338073","0.012510759771178832","0.012510759771178832","0.012510759771178832","0.01077304715276008","0.01077304715276008","0.01077304715276008","0.034150535804945606","0.034150535804945606","0.034150535804945606"
"28","0.023902321687992216","0.023902321687992216","0.023902321687992216","0.011452765986781667","0.011452765986781667","0.011452765986781667","0.02052069194072454","0.02052069194072454","0.02052069194072454","0.0020640958163401584","0.0020640958163401584","0.0020640958163401584","0.015294651123378975","0.015294651123378975","0.015294651123378975","0.03187467473930077","0.03187467473930077","0.03187467473930077","0.006926140076749988","0.006926140076749988","0.006926140076749988","0.02643658426781107","0.02643658426781107","0.02643658426781107","0.016992478100174888","0.016992478100174888","0.016992478100174888"
"29","0.008433714465593798","0.008433714465593798","0.008433714465593798","0.008377630656388996","0.008377630656388996","0.008377630656388996","0.0177677277681351","0.0177677277681351","0.0177677277681351","0.020853361333903184","0.020853361333903184","0.020853361333903184","0.01183622967450999","0.01183622967450999","0.01183622967450999","0.034225415799014836","0.034225415799014836","0.034225415799014836","0.00816027878591107","0.00816027878591107","0.00816027878591107","0.01045249111501195","0.01045249111501195","0.01045249111501195","0.032098571243942525","0.032098571243942525","0.032098571243942525"
