"Step","_n_S_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5","_n_S_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MIN","_n_S_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MAX","_n_X_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5","_n_X_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MIN","_n_X_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MAX","_n_L_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5","_n_L_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MIN","_n_L_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MAX","_n_N_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5","_n_N_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MIN","_n_N_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_1 (Arch-P5) - metrics/mAP_0.5__MAX","_n_L6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5","_n_L6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MIN","_n_L6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MAX","_n_M6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5","_n_M6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MIN","_n_M6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MAX","_n_X6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5","_n_X6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MIN","_n_X6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MAX","_n_S6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5","_n_S6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MIN","_n_S6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MAX","_n_N6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5","_n_N6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MIN","_n_N6_512_e500_b16_lr0.01_1 (Arch-P6) - metrics/mAP_0.5__MAX"
"20","0.05851557834841307","0.05851557834841307","0.05851557834841307","0.033783321437631846","0.033783321437631846","0.033783321437631846","0.028965640749944267","0.028965640749944267","0.028965640749944267","0.010675318891294626","0.010675318891294626","0.010675318891294626","0.0095174277248224","0.0095174277248224","0.0095174277248224","0.008956057055568387","0.008956057055568387","0.008956057055568387","0.007834298978560077","0.007834298978560077","0.007834298978560077","0.0014914918009873686","0.0014914918009873686","0.0014914918009873686","0.022285179236044606","0.022285179236044606","0.022285179236044606","0.020648707158318236","0.020648707158318236","0.020648707158318236"
"21","0.027157605822980012","0.027157605822980012","0.027157605822980012","0.036643044296083185","0.036643044296083185","0.036643044296083185","0.024839228464920374","0.024839228464920374","0.024839228464920374","0.01320646855585023","0.01320646855585023","0.01320646855585023","0.019055291985026583","0.019055291985026583","0.019055291985026583","0.0006535223584184827","0.0006535223584184827","0.0006535223584184827","0.007358159664411877","0.007358159664411877","0.007358159664411877","0.0061280417096066945","0.0061280417096066945","0.0061280417096066945","0.016448385848205536","0.016448385848205536","0.016448385848205536","0.015016246047389053","0.015016246047389053","0.015016246047389053"
"22","0.0571564382959675","0.0571564382959675","0.0571564382959675","0.011976798314178257","0.011976798314178257","0.011976798314178257","0.011893221720382438","0.011893221720382438","0.011893221720382438","0.017617716332509862","0.017617716332509862","0.017617716332509862","0.015488661946438604","0.015488661946438604","0.015488661946438604","0.0011688836672875524","0.0011688836672875524","0.0011688836672875524","0.010414144964184352","0.010414144964184352","0.010414144964184352","0.03328167413144152","0.03328167413144152","0.03328167413144152","0.0027234389340474396","0.0027234389340474396","0.0027234389340474396","0.021552796982153056","0.021552796982153056","0.021552796982153056"
"23","0.01756133396942522","0.01756133396942522","0.01756133396942522","0.033450967851114496","0.033450967851114496","0.033450967851114496","0.022776142418127747","0.022776142418127747","0.022776142418127747","0.015813887531774484","0.015813887531774484","0.015813887531774484","0.04989321774543401","0.04989321774543401","0.04989321774543401","0.005160935551330297","0.005160935551330297","0.005160935551330297","0.0041052308743616","0.0041052308743616","0.0041052308743616","0.019228397167418657","0.019228397167418657","0.019228397167418657","0.01931933264292205","0.01931933264292205","0.01931933264292205","0.018977871912833236","0.018977871912833236","0.018977871912833236"
"24","0.02220749779690597","0.02220749779690597","0.02220749779690597","0.00197311241800132","0.00197311241800132","0.00197311241800132","0.03680611721585292","0.03680611721585292","0.03680611721585292","0.028240962481349968","0.028240962481349968","0.028240962481349968","0.011928710277965908","0.011928710277965908","0.011928710277965908","0.015827935735333552","0.015827935735333552","0.015827935735333552","0.011295160878399962","0.011295160878399962","0.011295160878399962","0.015253479166851564","0.015253479166851564","0.015253479166851564","0.006498804585739672","0.006498804585739672","0.006498804585739672","0.022453461820558178","0.022453461820558178","0.022453461820558178"
"25","0.021101717177593217","0.021101717177593217","0.021101717177593217","0.02130032297811918","0.02130032297811918","0.02130032297811918","0.01698588248039946","0.01698588248039946","0.01698588248039946","0.02643679422816711","0.02643679422816711","0.02643679422816711","0.023924699715488974","0.023924699715488974","0.023924699715488974","0.008167501661867716","0.008167501661867716","0.008167501661867716","0.022358225423709317","0.022358225423709317","0.022358225423709317","0.017906131420455034","0.017906131420455034","0.017906131420455034","0.007679373549365432","0.007679373549365432","0.007679373549365432","0.03265622546172518","0.03265622546172518","0.03265622546172518"
"26","0.02320698379284381","0.02320698379284381","0.02320698379284381","0.009083170758732691","0.009083170758732691","0.009083170758732691","0.00700757245455884","0.00700757245455884","0.00700757245455884","0.009445268718066108","0.009445268718066108","0.009445268718066108","0.035747269340556366","0.035747269340556366","0.035747269340556366","0.009457061922003174","0.009457061922003174","0.009457061922003174","0.002151066643521385","0.002151066643521385","0.002151066643521385","0.02216112906961849","0.02216112906961849","0.02216112906961849","0.011488815132123712","0.011488815132123712","0.011488815132123712","0.02037828041482879","0.02037828041482879","0.02037828041482879"
"27","0.0308972174883849","0.0308972174883849","0.0308972174883849","0.017034241659399513","0.017034241659399513","0.017034241659399513","0.06892863396318535","0.06892863396318535","0.06892863396318535","0.025451143497014873","0.025451143497014873","0.025451143497014873","0.034150535804945606","0.034150535804945606","0.034150535804945606","0.012079343876623603","0.012079343876623603","0.012079343876623603","0.004558438962057081","0.004558438962057081","0.004558438962057081","0.008463940062773378","0.008463940062773378","0.008463940062773378","0.00899256591351235","0.00899256591351235","0.00899256591351235","0.01660255795289723","0.01660255795289723","0.01660255795289723"
"28","0.048024922423046804","0.048024922423046804","0.048024922423046804","0.011366787429485645","0.011366787429485645","0.011366787429485645","0.06805187811247997","0.06805187811247997","0.06805187811247997","0.040951755813008126","0.040951755813008126","0.040951755813008126","0.016992478100174888","0.016992478100174888","0.016992478100174888","0.014041812667882254","0.014041812667882254","0.014041812667882254","0.01312207022330007","0.01312207022330007","0.01312207022330007","0.0002202331098125071","0.0002202331098125071","0.0002202331098125071","0.012756467185293609","0.012756467185293609","0.012756467185293609","0.01326186550208341","0.01326186550208341","0.01326186550208341"
"29","0.02002022032236305","0.02002022032236305","0.02002022032236305","0.020943336559331855","0.020943336559331855","0.020943336559331855","0.03269182328193719","0.03269182328193719","0.03269182328193719","0.015554810780109162","0.015554810780109162","0.015554810780109162","0.032098571243942525","0.032098571243942525","0.032098571243942525","0.01904170429046772","0.01904170429046772","0.01904170429046772","0.011001468529026523","0.011001468529026523","0.011001468529026523","0.007727124244058169","0.007727124244058169","0.007727124244058169","0.017585649922314133","0.017585649922314133","0.017585649922314133","0.009184305660156324","0.009184305660156324","0.009184305660156324"
