"Step","_n_S_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5","_n_S_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MIN","_n_S_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MAX","_n_X_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5","_n_X_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MIN","_n_X_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MAX","_n_L_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5","_n_L_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MIN","_n_L_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MAX","_n_N_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5","_n_N_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MIN","_n_N_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MAX","_n_M_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5","_n_M_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MIN","_n_M_512_e500_b16_lr0.01_1 (512) - metrics/mAP_0.5__MAX","_n_X_1024_e500_b8_lr0.01_1 (1024) - metrics/mAP_0.5","_n_X_1024_e500_b8_lr0.01_1 (1024) - metrics/mAP_0.5__MIN","_n_X_1024_e500_b8_lr0.01_1 (1024) - metrics/mAP_0.5__MAX","_n_L_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5","_n_L_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5__MIN","_n_L_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5__MAX","_n_S_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5","_n_S_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5__MIN","_n_S_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5__MAX","_n_M_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5","_n_M_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5__MIN","_n_M_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5__MAX","_n_N_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5","_n_N_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5__MIN","_n_N_1024_e500_b16_lr0.01_1 (1024) - metrics/mAP_0.5__MAX"
"20","0.05851557834841307","0.05851557834841307","0.05851557834841307","0.033783321437631846","0.033783321437631846","0.033783321437631846","0.028965640749944267","0.028965640749944267","0.028965640749944267","0.010675318891294626","0.010675318891294626","0.010675318891294626","0.0095174277248224","0.0095174277248224","0.0095174277248224","0.0444538426353768","0.0444538426353768","0.0444538426353768","0.05690911557381042","0.05690911557381042","0.05690911557381042","0.01206202392251308","0.01206202392251308","0.01206202392251308","0.025225275813906167","0.025225275813906167","0.025225275813906167","0.014709669041263381","0.014709669041263381","0.014709669041263381"
"21","0.027157605822980012","0.027157605822980012","0.027157605822980012","0.036643044296083185","0.036643044296083185","0.036643044296083185","0.024839228464920374","0.024839228464920374","0.024839228464920374","0.01320646855585023","0.01320646855585023","0.01320646855585023","0.019055291985026583","0.019055291985026583","0.019055291985026583","0.06638726718228125","0.06638726718228125","0.06638726718228125","0.08133213270955014","0.08133213270955014","0.08133213270955014","0.01566014257000782","0.01566014257000782","0.01566014257000782","0.04077043362521709","0.04077043362521709","0.04077043362521709","0.006462198811142585","0.006462198811142585","0.006462198811142585"
"22","0.0571564382959675","0.0571564382959675","0.0571564382959675","0.011976798314178257","0.011976798314178257","0.011976798314178257","0.011893221720382438","0.011893221720382438","0.011893221720382438","0.017617716332509862","0.017617716332509862","0.017617716332509862","0.015488661946438604","0.015488661946438604","0.015488661946438604","0.0452445839051819","0.0452445839051819","0.0452445839051819","0.05922018894656783","0.05922018894656783","0.05922018894656783","0.017952500587954397","0.017952500587954397","0.017952500587954397","0.026715252889432696","0.026715252889432696","0.026715252889432696","0.015891386469038492","0.015891386469038492","0.015891386469038492"
"23","0.01756133396942522","0.01756133396942522","0.01756133396942522","0.033450967851114496","0.033450967851114496","0.033450967851114496","0.022776142418127747","0.022776142418127747","0.022776142418127747","0.015813887531774484","0.015813887531774484","0.015813887531774484","0.04989321774543401","0.04989321774543401","0.04989321774543401","0.09068464005744163","0.09068464005744163","0.09068464005744163","0.05759278126685998","0.05759278126685998","0.05759278126685998","0.00648654089290086","0.00648654089290086","0.00648654089290086","0.005551771016346361","0.005551771016346361","0.005551771016346361","0.04259399267718572","0.04259399267718572","0.04259399267718572"
"24","0.02220749779690597","0.02220749779690597","0.02220749779690597","0.00197311241800132","0.00197311241800132","0.00197311241800132","0.03680611721585292","0.03680611721585292","0.03680611721585292","0.028240962481349968","0.028240962481349968","0.028240962481349968","0.011928710277965908","0.011928710277965908","0.011928710277965908","0.0950242353921325","0.0950242353921325","0.0950242353921325","0.016605376635083748","0.016605376635083748","0.016605376635083748","0.008726682944646522","0.008726682944646522","0.008726682944646522","0.01628656079201705","0.01628656079201705","0.01628656079201705","0.021330419970350505","0.021330419970350505","0.021330419970350505"
"25","0.021101717177593217","0.021101717177593217","0.021101717177593217","0.02130032297811918","0.02130032297811918","0.02130032297811918","0.01698588248039946","0.01698588248039946","0.01698588248039946","0.02643679422816711","0.02643679422816711","0.02643679422816711","0.023924699715488974","0.023924699715488974","0.023924699715488974","0.09268467954862361","0.09268467954862361","0.09268467954862361","0.0579951477554956","0.0579951477554956","0.0579951477554956","0.01408849101601904","0.01408849101601904","0.01408849101601904","0.007215347826377835","0.007215347826377835","0.007215347826377835","0.011615193083087448","0.011615193083087448","0.011615193083087448"
"26","0.02320698379284381","0.02320698379284381","0.02320698379284381","0.009083170758732691","0.009083170758732691","0.009083170758732691","0.00700757245455884","0.00700757245455884","0.00700757245455884","0.009445268718066108","0.009445268718066108","0.009445268718066108","0.035747269340556366","0.035747269340556366","0.035747269340556366","0.05445981313300489","0.05445981313300489","0.05445981313300489","0.018465688020588546","0.018465688020588546","0.018465688020588546","0.01821605539448844","0.01821605539448844","0.01821605539448844","0.08420284913556617","0.08420284913556617","0.08420284913556617","0.03588160773509967","0.03588160773509967","0.03588160773509967"
"27","0.0308972174883849","0.0308972174883849","0.0308972174883849","0.017034241659399513","0.017034241659399513","0.017034241659399513","0.06892863396318535","0.06892863396318535","0.06892863396318535","0.025451143497014873","0.025451143497014873","0.025451143497014873","0.034150535804945606","0.034150535804945606","0.034150535804945606","0.09189800500655143","0.09189800500655143","0.09189800500655143","0.1259572309747611","0.1259572309747611","0.1259572309747611","0.008004804748470267","0.008004804748470267","0.008004804748470267","0.07093992476765494","0.07093992476765494","0.07093992476765494","0.013431147543504792","0.013431147543504792","0.013431147543504792"
"28","0.048024922423046804","0.048024922423046804","0.048024922423046804","0.011366787429485645","0.011366787429485645","0.011366787429485645","0.06805187811247997","0.06805187811247997","0.06805187811247997","0.040951755813008126","0.040951755813008126","0.040951755813008126","0.016992478100174888","0.016992478100174888","0.016992478100174888","0.044603914720299453","0.044603914720299453","0.044603914720299453","0.09449312482172176","0.09449312482172176","0.09449312482172176","0.02099036199107671","0.02099036199107671","0.02099036199107671","0.09118867210347632","0.09118867210347632","0.09118867210347632","0.07269989564498403","0.07269989564498403","0.07269989564498403"
"29","0.02002022032236305","0.02002022032236305","0.02002022032236305","0.020943336559331855","0.020943336559331855","0.020943336559331855","0.03269182328193719","0.03269182328193719","0.03269182328193719","0.015554810780109162","0.015554810780109162","0.015554810780109162","0.032098571243942525","0.032098571243942525","0.032098571243942525","0.041051131942642975","0.041051131942642975","0.041051131942642975","0.04881739387472423","0.04881739387472423","0.04881739387472423","0.03791524327370845","0.03791524327370845","0.03791524327370845","0.05500075542990719","0.05500075542990719","0.05500075542990719","0.061460240727709406","0.061460240727709406","0.061460240727709406"
