"Step","_m_M_512_e500_b16_lr0.01_standardized_3 - metrics/mAP_0.5","_m_M_512_e500_b16_lr0.01_standardized_3 - metrics/mAP_0.5__MIN","_m_M_512_e500_b16_lr0.01_standardized_3 - metrics/mAP_0.5__MAX","_m_M_512_e500_b16_lr0.01_standardized_2 - metrics/mAP_0.5","_m_M_512_e500_b16_lr0.01_standardized_2 - metrics/mAP_0.5__MIN","_m_M_512_e500_b16_lr0.01_standardized_2 - metrics/mAP_0.5__MAX","_m_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5","_m_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5__MIN","_m_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5__MAX","_m_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5","_m_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5__MIN","_m_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5__MAX","_m_M_512_e500_b16_lr0.01_standardized_1 - metrics/mAP_0.5","_m_M_512_e500_b16_lr0.01_standardized_1 - metrics/mAP_0.5__MIN","_m_M_512_e500_b16_lr0.01_standardized_1 - metrics/mAP_0.5__MAX","_m_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5","_m_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5__MIN","_m_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5__MAX"
"41","0.054034682067555476","0.054034682067555476","0.054034682067555476","0.13245459128478487","0.13245459128478487","0.13245459128478487","0.05769993829389798","0.05769993829389798","0.05769993829389798","0.09934776355792338","0.09934776355792338","0.09934776355792338","0.05397707477169654","0.05397707477169654","0.05397707477169654","0.09422118082965417","0.09422118082965417","0.09422118082965417"
"42","0.09989963419683684","0.09989963419683684","0.09989963419683684","0.10393711145656874","0.10393711145656874","0.10393711145656874","0.09703044639866273","0.09703044639866273","0.09703044639866273","0.13943182077080563","0.13943182077080563","0.13943182077080563","0.08704449113163928","0.08704449113163928","0.08704449113163928","0.08021598967682851","0.08021598967682851","0.08021598967682851"
"43","0.13923265656697753","0.13923265656697753","0.13923265656697753","0.10774305227525918","0.10774305227525918","0.10774305227525918","0.03178513288424354","0.03178513288424354","0.03178513288424354","0.015371218539797166","0.015371218539797166","0.015371218539797166","0.09363389394970992","0.09363389394970992","0.09363389394970992","0.035478527168631084","0.035478527168631084","0.035478527168631084"
"44","0.1264419885713695","0.1264419885713695","0.1264419885713695","0.09525521737446592","0.09525521737446592","0.09525521737446592","0.05904939689119687","0.05904939689119687","0.05904939689119687","0.13044034967006532","0.13044034967006532","0.13044034967006532","0.08982048364024724","0.08982048364024724","0.08982048364024724","0.04929370738202112","0.04929370738202112","0.04929370738202112"
"45","0.04608022585790973","0.04608022585790973","0.04608022585790973","0.10049745754046964","0.10049745754046964","0.10049745754046964","0.09663172885912125","0.09663172885912125","0.09663172885912125","0.08439119242402442","0.08439119242402442","0.08439119242402442","0.06361568623685188","0.06361568623685188","0.06361568623685188","0.06434770113414255","0.06434770113414255","0.06434770113414255"
"46","0.059852292512385594","0.059852292512385594","0.059852292512385594","0.09745250137974286","0.09745250137974286","0.09745250137974286","0.14710200772412266","0.14710200772412266","0.14710200772412266","0.10159384037705595","0.10159384037705595","0.10159384037705595","0.0801239683988849","0.0801239683988849","0.0801239683988849","0.14203645579980606","0.14203645579980606","0.14203645579980606"
"47","0.152065888928912","0.152065888928912","0.152065888928912","0.06859635680840927","0.06859635680840927","0.06859635680840927","0.1038781577407597","0.1038781577407597","0.1038781577407597","0.09387418158470218","0.09387418158470218","0.09387418158470218","0.06640346741837475","0.06640346741837475","0.06640346741837475","0.16698755976104163","0.16698755976104163","0.16698755976104163"
"48","0.08420932629112252","0.08420932629112252","0.08420932629112252","0.048229068977449115","0.048229068977449115","0.048229068977449115","0.04984006906717608","0.04984006906717608","0.04984006906717608","0.026486019503737915","0.026486019503737915","0.026486019503737915","0.041885629581591866","0.041885629581591866","0.041885629581591866","0.08826503156672415","0.08826503156672415","0.08826503156672415"
"49","0.06490319352071831","0.06490319352071831","0.06490319352071831","0.09502366021880557","0.09502366021880557","0.09502366021880557","0.09715695677618273","0.09715695677618273","0.09715695677618273","0.045383742073362425","0.045383742073362425","0.045383742073362425","0.12344887862955498","0.12344887862955498","0.12344887862955498","0.049597680336256646","0.049597680336256646","0.049597680336256646"
"50","0.15549348755251471","0.15549348755251471","0.15549348755251471","0.1380362841494929","0.1380362841494929","0.1380362841494929","0.17527397666294206","0.17527397666294206","0.17527397666294206","0.1702207915043724","0.1702207915043724","0.1702207915043724","0.0833194218239228","0.0833194218239228","0.0833194218239228","0.1190405423007814","0.1190405423007814","0.1190405423007814"
